stock_code;description;total_revenue;total_units;avg_discount;promo_revenue
22112;CHOCOLATE HOT WATER BOTTLE;32866,18; 6025;-0,2253;11993,50
85099F;JUMBO BAG STRAWBERRY;32570,47;17273;-0,1439;23813,05
22469;HEART OF WICKER SMALL;32107,80;17971;-0,1866;6165,85
23245;SET OF 3 REGENCY CAKE TINS;31177,95; 6357;-0,1873;12765,40
21931;JUMBO STORAGE BAG SUKI;30770,12;13654;-0,3196;12790,85
22727;ALARM CLOCK BAKELIKE RED;30701,12; 7815;-0,1704;8803,30
23199;JUMBO BAG APPLES;30475,65;14920;-0,2351;14651,60
22470;HEART OF WICKER LARGE;30139,41; 9901;-0,1126;4093,80
22355;CHARLOTTE BAG SUKI DESIGN;29277,95;18152;-0,4270;2779,20
22699;ROSES REGENCY TEACUP AND SAUCER;29095,27; 9877;-0,2389;13492,05
23355;HOT WATER BOTTLE KEEP CALM;28842,55; 5841;-0,0642;10602,15
22411;JUMBO SHOPPER VINTAGE RED PAISLEY;28634,95;12602;-0,2903;11260,50
22457;NATURAL SLATE HEART CHALKBOARD;28147,96; 9172;-0,2156;6324,00
85099C;JUMBO  BAG BAROQUE BLACK WHITE;28092,20;13922;-0,2516;16727,58
20685;DOORMAT RED RETROSPOT;28082,54; 4092;-0,1260;17400,84
23201;JUMBO BAG ALPHABET;27890,17;13379;-0,1493;12002,90
22726;ALARM CLOCK BAKELIKE GREEN;27196,53; 6430;-0,2089;3796,80
84347;ROTATING SILVER ANGELS T-LIGHT HLDR;26463,83; 9476;-0,3343;8804,40
21915;RED  HARMONICA IN BOX;26331,58;21933;-0,1398;14076,04
22666;RECIPE BOX PANTRY YELLOW DESIGN;26240,60; 8276;-0,2543;7015,44
21175;GIN + TONIC DIET METAL SIGN;25836,57;11727;-0,0750;12482,52
22629;SPACEBOY LUNCH BOX;25740,47;14260;-0,1233;13497,00
22961;JAM MAKING SET PRINTED;25660,98;16412;-0,3124;5055,00
48138;DOORMAT UNION FLAG;25609,60; 3762;-0,1178;13804,81
21181;PLEASE ONE PERSON METAL SIGN;25290,58;12305;-0,1538;9372,46
23173;REGENCY TEAPOT ROSES;24918,93; 2770;-0,1164;15710,20
21621;VINTAGE UNION JACK BUNTING;24542,83; 2789;-0,1108;4385,95
23203;JUMBO BAG VINTAGE DOILY;24522,36;11464;-0,1052;8910,20
22111;SCOTTIE DOG HOT WATER BOTTLE;24509,84; 4666;-0,1706;6387,75
22722;SET OF 6 SPICE TINS PANTRY DESIGN;24483,66; 5978;-0,1816;6955,20
22326;ROUND SNACK BOXES SET OF4 WOODLAND;24438,62; 8560;-0,1728;11383,20
48187;DOORMAT NEW ENGLAND;24292,84; 3830;-0,0645;15068,70
22138;BAKING SET 9 PIECE RETROSPOT;24239,72; 4948;-0,0807;6630,00
21731;RED TOADSTOOL LED NIGHT LIGHT;23932,98;14009;-0,4451;8755,50
48185;DOORMAT FAIRY CAKE;23888,81; 3617;-0,2717;16980,40
23344;JUMBO BAG 50'S CHRISTMAS;23815,75;10306;-0,1602;5769,70
23243;SET OF TEA COFFEE SUGAR TINS PANTRY;23514,17; 4805;-0,1839;5086,64
22189;CREAM HEART CARD HOLDER;23463,47; 8291;-0,1261;15703,54
21733;RED HANGING HEART T-LIGHT HOLDER;23228,74; 7882;-0,0709;6171,00
21929;JUMBO BAG PINK VINTAGE PAISLEY;23181,14;11007;-0,2873;12419,83
82482;WOODEN PICTURE FRAME WHITE FINISH;23113,26; 9006;-0,2163;6744,87
20713;JUMBO BAG OWLS;23030,96;11444;-0,3326;15359,75
21623;VINTAGE UNION JACK MEMOBOARD;23010,09; 3272;-0,0421;18938,08
22139;RETROSPOT TEA SET CERAMIC 11 PC;22912,81; 4527;-0,1564;5503,75
22697;GREEN REGENCY TEACUP AND SAUCER;22826,30; 7302;-0,2946;7879,50
22090;PAPER BUNTING RETROSPOT;22790,96; 7564;-0,2806;9588,00
85066;CREAM SWEETHEART MINI CHEST;22708,95; 1793;-0,1210;6488,91
20727;LUNCH BAG  BLACK SKULL.;22421,21;12240;-0,2718;4390,60
15056N;EDWARDIAN PARASOL NATURAL;22176,49; 3954;-0,1671;9528,00
84029E;RED WOOLLY HOTTIE WHITE HEART.;22144,98; 4765;-0,2039;10610,19
48194;DOORMAT HEARTS;22138,57; 3419;-0,1625;11975,16
20712;JUMBO BAG WOODLAND ANIMALS;22092,42; 9773;-0,4070;10055,85
23202;JUMBO BAG VINTAGE LEAF;21852,81;10962;-0,1035;8174,40
20724;RED RETROSPOT CHARLOTTE BAG;21776,79;17765;-0,3475;4284,00
20728;LUNCH BAG CARS BLUE;21750,63;11817;-0,2481;4365,95
22630;DOLLY GIRL LUNCH BOX;21635,14;11793;-0,1927;10962,60
21523;DOORMAT FANCY FONT HOME SWEET HOME;21601,69; 3246;-0,1964;12929,42
21843;RED RETROSPOT CAKE STAND;21365,25; 2013;-0,1511;5676,52
21212;PACK OF 72 RETROSPOT CAKE CASES;21259,10;36419;-0,3790;6682,08
21166;COOK WITH WINE METAL SIGN;20957,64;10364;-0,1472;9580,01
23206;LUNCH BAG APPLE DESIGN;20911,98;12183;-0,2437;5829,00
22659;LUNCH BOX I LOVE LONDON;20818,70;11523;-0,1848;12533,40
22728;ALARM CLOCK BAKELIKE PINK;20702,15; 5364;-0,2207;6027,42
21479;WHITE SKULL HOT WATER BOTTLE;20594,45; 3918;-0,1720;7010,22
82494L;WOODEN FRAME ANTIQUE WHITE;19640,79; 6749;-0,1054;6265,35
84946;ANTIQUE SILVER T-LIGHT GLASS;19411,62;14688;-0,2011;6423,60
22501;PICNIC BASKET WICKER LARGE;19322,16; 1604;-0,4454;6003,10
22328;ROUND SNACK BOXES SET OF 4 FRUITS;19130,37; 6847;-0,1086;9669,60
22467;GUMBALL COAT RACK;18890,47; 7962;-0,1275;9529,80
22969;HOMEMADE JAM SCENTED CANDLES;18788,55;12532;-0,2359;3450,00
22383;LUNCH BAG SUKI DESIGN;18750,58;10332;-0,2797;3407,50
15036;ASSORTED COLOURS SILK FAN;18569,84;23826;-0,2865;10784,61
20726;LUNCH BAG WOODLAND;18323,38; 9933;-0,3189;3770,00
22382;LUNCH BAG SPACEBOY DESIGN;18092,36;10464;-0,2173;3523,50
21108;FAIRY CAKE FLANNEL ASSORTED COLOUR;18069,28;10253;-1,9225;0,00
22835;HOT WATER BOTTLE I AM SO POORLY;18055,11; 3474;-0,1860;7718,80
22693;GROW A FLYTRAP OR SUNFLOWER IN TIN;17927,45;16244;-0,1887;9751,20
22865;HAND WARMER OWL DESIGN;17910,03; 8498;-0,1215;5902,20
21485;RETROSPOT HEART HOT WATER BOTTLE;17708,53; 3533;-0,1373;4564,50
20914;SET/5 RED RETROSPOT LID GLASS BOWLS;17655,80; 6084;-0,1138;5385,60
22698;PINK REGENCY TEACUP AND SAUCER;17551,76; 5824;-0,2489;6525,45
22384;LUNCH BAG PINK POLKADOT;17435,19;10515;-0,2282;4219,50
23203;JUMBO BAG DOILEY PATTERNS;17272,85; 8895;-0,0770;8947,50
21928;JUMBO BAG SCANDINAVIAN BLUE PAISLEY;17245,93; 8414;-0,2887;8547,10
22077;6 RIBBONS RUSTIC CHARM;17205,37; 9183;-0,3370;1044,00
22385;JUMBO BAG SPACEBOY DESIGN;17081,86; 8671;-0,2749;10051,55
71477;COLOUR GLASS. STAR T-LIGHT HOLDER;17073,65; 5737;-0,2099;11599,50
22197;SMALL POPCORN HOLDER;17055,15;20160;-0,2631;9501,12
21754;HOME BUILDING BLOCK WORD;17049,92; 2780;-0,1122;3362,65
82583;HOT BATHS METAL SIGN;17047,06; 7306;-0,3998;4854,12
22492;MINI PAINT SET VINTAGE;16937,82;26633;-0,2077;5049,00
20719;WOODLAND CHARLOTTE BAG;16759,75;13308;-0,4205;3219,12
22624;IVORY KITCHEN SCALES;16528,31; 1901;-0,1108;4567,05
22993;SET OF 4 PANTRY JELLY MOULDS;16507,23;12672;-0,1961;3913,52
84978;HANGING HEART JAR T-LIGHT HOLDER;16477,53;12512;-0,1859;6014,44
84078A;SET/4 WHITE RETRO STORAGE CUBES;16363,30;  415;-0,1322;8772,45
23301;GARDENERS KNEELING PAD KEEP CALM;16357,05; 8825;-0,1770;4086,96
84029G;KNITTED UNION FLAG HOT WATER BOTTLE;16164,04; 3323;-0,3857;2230,62
85152;HAND OVER THE CHOCOLATE   SIGN;15983,33; 8272;-0,1224;7696,92
23313;VINTAGE CHRISTMAS BUNTING;15833,31; 2997;-0,1195;3423,75
15056BL;EDWARDIAN PARASOL BLACK;15828,84; 2844;-0,0807;6244,95
22379;RECYCLING BAG RETROSPOT;15636,99; 6910;-0,5152;6549,00
82483;WOOD 2 DRAWER CABINET WHITE FINISH;15240,07; 2403;-0,0001;8050,10
22084;PAPER CHAIN KIT EMPIRE;15122,97; 5189;-0,1087;6471,90
22900;SET 2 TEA TOWELS I LOVE LONDON;14975,93; 4919;-0,1457;8213,25
84997D;CHILDRENS CUTLERY POLKADOT PINK;14501,94; 3668;-0,0847;8190,00
22752;SET 7 BABUSHKA NESTING BOXES;14453,47; 1790;-0,1516;7204,60
22866;HAND WARMER SCOTTY DOG DESIGN;14410,62; 6632;-0,1091;4239,36
22847;BREAD BIN DINER STYLE IVORY;14329,54;  901;-0,0274;7745,86
48184;DOORMAT ENGLISH ROSE;14324,00; 2038;-0,0864;7984,10
23200;JUMBO BAG PEARS;14197,28; 7071;-0,1673;5561,60
22507;MEMO BOARD RETROSPOT  DESIGN;14193,35; 2960;-0,2718;5713,84
22083;PAPER CHAIN KIT RETROSPOT;14159,54; 4658;-0,2750;4386,00
22625;RED KITCHEN SCALES;14141,70; 1627;-0,1502;4701,70
21232;STRAWBERRY CERAMIC TRINKET BOX;14130,08;10483;-0,3240;4590,86
22867;HAND WARMER BIRD DESIGN;14078,69; 6441;-0,1417;4018,20
21930;JUMBO STORAGE BAG SKULLS;14031,16; 6450;-0,3385;6083,65
23343;JUMBO BAG VINTAGE CHRISTMAS;13978,95; 6081;-0,1612;2780,40
22622;BOX OF VINTAGE ALPHABET BLOCKS;13931,31; 1342;-0,0362;9186,70
84077;WORLD WAR 2 GLIDERS ASSTD DESIGNS;13841,85;55047;-0,1058;5538,24
20971;PINK BLUE FELT CRAFT TRINKET BOX;13838,10;11001;-0,1348;6601,68
22941;CHRISTMAS LIGHTS 10 REINDEER;13812,92; 1672;-0,1710;5112,00
AMAZONFEE;AMAZON FEE;13761,09;    2;-30,3094;0,00
22171;3 HOOK PHOTO SHELF ANTIQUE WHITE;13746,11; 1811;-0,1768;7610,88
23077;DOUGHNUT LIP GLOSS;13720,77;10415;-0,0761;2163,20
22551;PLASTERS IN TIN SPACEBOY;13615,31; 8082;-0,1282;3758,40
21524;DOORMAT SPOTTY HOME SWEET HOME;13612,41; 1757;-0,1563;6020,30
23356;LOVE HOT WATER BOTTLE;13494,97; 2386;-0,0418;4351,05
23207;LUNCH BAG ALPHABET DESIGN;13360,20; 7851;-0,2037;3190,00
22558;CLOTHES PEGS RETROSPOT PACK 24;13346,04; 8689;-0,1103;7684,61
22554;PLASTERS IN TIN WOODLAND ANIMALS;13344,77; 7813;-0,1562;3062,40
23108;SET OF 10 LED DOLLY LIGHTS;13303,02; 2221;-0,0350;4900,02
23328;SET 6 SCHOOL MILK BOTTLES IN CRATE;13284,49; 2845;-0,2893;3606,96
22113;GREY HEART HOT WATER BOTTLE;12805,33; 3231;-0,0344;7498,10
22499;WOODEN UNION JACK BUNTING;12792,25; 2091;-0,1411;2545,36
22427;ENAMEL FLOWER JUG CREAM;12671,06; 2110;-0,1031;4697,90
20750;RED RETROSPOT MINI CASES;12642,93; 1748;-0,0216;5530,85
20749;ASSORTED COLOUR MINI CASES;12614,17; 1770;-0,0144;6267,45
21755;LOVE BUILDING BLOCK WORD;12572,71; 2034;-0,1214;1891,15
22607;WOODEN ROUNDERS GARDEN SET;12571,37; 1331;-0,0787;6178,24
20723;STRAWBERRY CHARLOTTE BAG;12552,40; 9798;-0,4121;1785,60
21790;VINTAGE SNAP CARDS;12515,96;14528;-0,1940;4183,20
22188;BLACK HEART CARD HOLDER;12487,17; 4871;-0,1008;10377,36
22568;FELTCRAFT CUSHION OWL;12440,14; 3380;-0,1085;5393,49
22424;ENAMEL BREAD BIN CREAM;12383,83;  875;-0,2455;2423,14
22149;FELTCRAFT 6 FLOWER FRIENDS;12373,88; 6078;-0,1674;6134,60
23174;REGENCY SUGAR BOWL GREEN;12350,73; 3057;-0,1550;6525,00
21977;PACK OF 60 PINK PAISLEY CAKE CASES;12245,02;24854;-0,3500;5425,20
48188;DOORMAT WELCOME PUPPIES;12114,97; 2065;-0,1090;8026,70
47590B;PINK HAPPY BIRTHDAY BUNTING;12071,92; 2327;-0,0679;4510,50
22273;FELTCRAFT DOLL MOLLY;12016,34; 4514;-0,1058;7837,20
22191;IVORY DINER WALL CLOCK;11971,15; 1452;-0,0409;4804,20
22158;3 HEARTS HANGING DECORATION RUSTIC;11944,88; 3463;-0,1331;2488,80
82486;WOOD S/3 CABINET ANT WHITE FINISH;11937,68; 1408;-0,0095;5640,05
21430;SET/3 RED GINGHAM ROSE STORAGE BOX;11928,45; 3040;-0,3130;5905,32
22087;PAPER BUNTING WHITE LACE;11893,23; 4089;-0,1498;5635,50
22193;RED DINER WALL CLOCK;11882,57; 1403;-0,0867;3978,00
23300;GARDENERS KNEELING PAD CUP OF TEA;11815,69; 6827;-0,1554;3860,76
22502;PICNIC BASKET WICKER SMALL;11807,12; 1879;-0,2667;3759,05
21936;RED RETROSPOT PICNIC BAG;11671,09; 3987;-0,2566;4717,50
23581;JUMBO BAG PAISLEY PARK;11613,03; 5035;-0,0833;3468,60
22692;DOORMAT WELCOME TO OUR HOME;11555,56; 1524;-0,2066;4640,40
21217;RED RETROSPOT ROUND CAKE TINS;11532,39; 1089;-0,2631;4591,35
22730;ALARM CLOCK BAKELIKE IVORY;11479,65; 2892;-0,1760;1064,46
21481;FAWN BLUE HOT WATER BOTTLE;11466,37; 3313;-0,0939;6696,53
22356;CHARLOTTE BAG PINK POLKADOT;11420,29; 9719;-0,4712;2404,80
21216;SET 3 RETROSPOT TEA,COFFEE,SUGAR;11407,56; 2133;-0,4911;4709,00
22041;"RECORD FRAME 7"" SINGLE SIZE";11354,56; 4374;-0,4418;6060,60
21340;CLASSIC METAL BIRDCAGE PLANT HOLDER;11338,27;  978;-0,0492;5979,95
21080;SET/20 RED RETROSPOT PAPER NAPKINS;11319,36;13210;-0,2846;4026,24
47566B;TEA TIME PARTY BUNTING;11290,12; 2382;-0,1231;4223,10
22605;WOODEN CROQUET GARDEN SET;11276,21;  782;-0,0853;6296,76
22570;FELTCRAFT CUSHION RABBIT;11227,47; 3092;-0,1438;5898,60
23170;REGENCY TEA PLATE ROSES;11117,05; 6869;-0,2574;4960,45
22413;METAL SIGN TAKE IT OR LEAVE IT;11104,79; 3777;-0,1341;4258,80
22662;LUNCH BAG DOLLY GIRL DESIGN;11090,58; 6724;-0,1703;3233,50
B;Adjust bad debt;11062,06;    1;0,0000;0,00
20711;JUMBO BAG TOYS;11014,62; 5007;0,2429;7712,16
85014B;RED RETROSPOT UMBRELLA;10981,95; 1915;-0,1465;4514,40
22988;SOLDIERS EGG CUP;10938,31; 9137;-0,1946;4948,08
85048;15CM CHRISTMAS GLASS BALL 20 LIGHTS;10910,61; 1359;-0,1707;4795,50
23209;LUNCH BAG VINTAGE DOILY;10820,10; 6562;-0,1485;2030,00
22617;BAKING SET SPACEBOY DESIGN;10745,05; 2209;-0,1048;3455,25
22846;BREAD BIN DINER STYLE RED;10676,62;  665;-0,0442;5538,26
22734;SET OF 6 RIBBONS VINTAGE CHRISTMAS;10621,60; 3265;-0,2128;1080,78
21791;VINTAGE HEADS AND TAILS CARD GAME;10535,65; 7889;-0,2040;2486,76
21891;TRADITIONAL WOODEN SKIPPING ROPE;10526,00; 8145;-0,0950;6218,92
84755;COLOUR GLASS T-LIGHT HOLDER HANGING;10518,25;16449;-0,1182;3489,20
23209;LUNCH BAG DOILEY PATTERN;10510,44; 6556;-0,0496;2639,00
47590A;BLUE HAPPY BIRTHDAY BUNTING;10502,65; 1992;-0,0759;3115,50
23208;LUNCH BAG VINTAGE LEAF DESIGN;10498,01; 6342;-0,1707;1919,80
22992;REVOLVER WOODEN RULER;10379,84; 5236;-0,1634;3544,20
22169;FAMILY ALBUM WHITE PICTURE FRAME;10354,26; 1198;-0,1939;4295,25
21914;BLUE HARMONICA IN BOX;10343,56; 7879;-0,1445;1017,60
84997B;CHILDRENS CUTLERY RETROSPOT RED;10316,86; 2634;-0,0827;5877,00
84947;ANTIQUE SILVER TEA GLASS ENGRAVED;10297,27; 8706;-0,1728;5677,36
23582;VINTAGE DOILY JUMBO BAG RED;10233,45; 4815;-0,0638;4381,50
22970;LONDON BUS COFFEE MUG;10224,75; 4367;-0,0694;5418,00
82600;NO SINGING METAL SIGN;10195,86; 4789;-0,2079;2555,16
84997C;CHILDRENS CUTLERY POLKADOT BLUE;10154,91; 2583;-0,0616;6030,00
22569;FELTCRAFT CUSHION BUTTERFLY;10133,33; 2765;-0,1389;4420,56
21218;RED SPOTTY BISCUIT TIN;10116,49; 2433;-0,5759;4348,50
22556;PLASTERS IN TIN CIRCUS PARADE;10070,11; 6118;-0,0820;1670,40
22633;HAND WARMER UNION JACK;10057,32; 4867;-0,0450;2885,16
22621;TRADITIONAL KNITTING NANCY;10056,95; 6150;-0,1400;3218,70
23171;REGENCY TEA PLATE GREEN;10051,99; 6247;-0,2899;4896,65
48173C;DOORMAT BLACK FLOCK;10025,11; 1802;-0,0314;7644,50
20679;EDWARDIAN PARASOL RED;10021,42; 1710;-0,1771;3164,25
23076;ICE CREAM SUNDAE LIP GLOSS;9965,76; 8100;-0,0799;1148,16
22791;T-LIGHT GLASS FLUTED ANTIQUE;9963,88; 8027;-0,2074;4528,32
22690;DOORMAT HOME SWEET HOME BLUE;9959,60; 1621;-0,0491;5881,25
22619;SET OF 6 SOLDIER SKITTLES;9921,29; 2487;-0,2416;2423,85
22654;DELUXE SEWING KIT;9898,95; 1412;-0,3020;1980,00
22555;PLASTERS IN TIN STRONGMAN;9863,28; 6023;-0,1204;1809,60
22766;PHOTO FRAME CORNICE;9843,59; 3297;-0,0879;1285,20
21314;SMALL GLASS HEART TRINKET POT;9811,58; 4252;-0,3512;2208,90
22838;3 TIER CAKE TIN RED AND CREAM;9765,11;  689;-0,1553;5180,45
23240;SET OF 4 KNICK KNACK TINS DOILY;9759,68; 2360;-0,0935;2340,00
22561;WOODEN SCHOOL COLOURING SET;9749,82; 5888;-0,0767;2383,80
21559;STRAWBERRY LUNCH BOX WITH CUTLERY;9748,13; 3938;-0,2257;3616,20
22776;SWEETHEART CAKESTAND 3 TIER;9697,25;  959;-0,1237;2924,00
22844;VINTAGE CREAM DOG FOOD CONTAINER;9686,82; 1006;-0,2721;2120,40
22144;CHRISTMAS CRAFT LITTLE FRIENDS;9681,18; 4082;-0,2259;2046,10
22560;TRADITIONAL MODELLING CLAY;9602,32; 8168;-0,1376;4269,68
23175;REGENCY MILK JUG PINK;9600,15; 3164;-0,1929;5260,75
22978;PANTRY ROLLING PIN;9568,73; 2465;-0,1578;1871,28
22456;NATURAL SLATE CHALKBOARD LARGE;9554,47; 1731;-0,3468;2150,50
35970;ZINC FOLKART SLEIGH BELLS;9546,53; 5070;-0,4253;1984,68
22952;60 CAKE CASES VINTAGE CHRISTMAS;9511,52;16055;-0,3813;2217,60
21174;POTTERING IN THE SHED METAL SIGN;9413,82; 4179;-0,2941;903,45
84375;SET OF 20 KIDS COOKIE CUTTERS;9404,15; 4321;-0,1959;711,60
85150;LADIES & GENTLEMEN METAL SIGN;9388,53; 4039;-0,2048;3683,28
21155;RED RETROSPOT PEG BAG;9301,40; 3157;-0,2272;1892,10
23319;BOX OF 6 MINI 50'S CRACKERS;9266,84; 3739;-0,0635;3020,16
22749;FELTCRAFT PRINCESS CHARLOTTE DOLL;9264,91; 2375;-0,0954;2562,84
22966;GINGERBREAD MAN COOKIE CUTTER;9212,15; 7448;-0,1601;2186,78
84991;60 TEATIME FAIRY CAKE CASES;9183,72;18214;-0,2482;3389,52
23318;BOX OF 6 MINI VINTAGE CRACKERS;9167,39; 3811;-0,1005;3706,56
20972;PINK CREAM FELT CRAFT TRINKET BOX;9159,31; 7362;-0,1377;1844,40
23080;RED METAL BOX TOP SECRET;9158,87; 1079;-0,1305;3630,00
48116;DOORMAT MULTICOLOUR STRIPE;9088,63; 1492;-0,2151;6547,63
22729;ALARM CLOCK BAKELIKE ORANGE;9080,20; 2326;-0,2025;1864,50
22771;CLEAR DRAWER KNOB ACRYLIC EDWARDIAN;9050,44; 6635;-0,2501;987,60
22759;SET OF 3 NOTEBOOKS IN PARCEL;9043,94; 5445;-0,2379;3480,00
22989;SET 2 PANTRY DESIGN TEA TOWELS;9012,27; 2815;-0,1339;2458,40
23439;HAND WARMER RED LOVE HEART;8941,61; 4027;-0,0585;1776,00
23322;LARGE WHITE HEART OF WICKER;8925,41; 3085;-0,0616;1500,33
82582;AREA PATROLLED METAL SIGN;8862,99; 4367;-0,1403;3260,64
21889;WOODEN BOX OF DOMINOES;8862,29; 6402;-0,2610;394,32
22632;HAND WARMER RED RETROSPOT;8770,43; 4354;-0,0604;3179,52
84945;MULTI COLOUR SILVER T-LIGHT HOLDER;8754,63;10557;-0,1197;2937,60
22947;WOODEN ADVENT CALENDAR RED;8714,24;  746;-0,6494;0,00
22147;FELTCRAFT BUTTERFLY HEARTS;8626,94; 6230;-0,1292;3675,00
22652;TRAVEL SEWING KIT;8620,32; 5096;-0,1936;1774,80
22795;SWEETHEART RECIPE BOOK STAND;8578,00; 1212;-0,2011;2481,15
23082;SET 6 PAPER TABLE LANTERN HEARTS;8577,51; 2333;-0,0904;2605,68
71459;HANGING JAM JAR T-LIGHT HOLDER;8560,84;10792;-0,0709;4345,92
23078;ICE CREAM PEN LIP GLOSS;8553,34; 6831;-0,1414;898,56
21035;SET/2 RED RETROSPOT TEA TOWELS;8549,85; 2603;-0,3962;4413,45
84378;SET OF 3 HEART COOKIE CUTTERS;8540,90; 6350;-0,3016;546,96
21484;CHICK GREY HOT WATER BOTTLE;8535,52; 1881;-0,2146;3215,95
23256;CHILDRENS CUTLERY SPACEBOY;8525,97; 2079;-0,0767;2430,00
23493;VINTAGE DOILY TRAVEL SEWING KIT;8509,68; 3970;-0,1043;660,00
23321;SMALL WHITE HEART OF WICKER;8473,27; 4737;-0,0586;1050,60
21213;PACK OF 72 SKULL CAKE CASES;8418,44;15176;-0,4453;3041,76
21210;SET OF 72 RETROSPOT PAPER  DOILIES;8374,19; 5812;-0,2295;1905,00
22768;FAMILY PHOTO FRAME CORNICE;8268,54;  868;-0,1012;2293,68
72741;GRAND CHOCOLATECANDLE;8225,00; 5978;-0,1021;3915,00
22192;BLUE DINER WALL CLOCK;8189,29;  954;-0,0640;1698,30
22725;ALARM CLOCK BAKELIKE CHOCOLATE;8168,60; 1984;-0,2737;1017,00
84380;SET OF 3 BUTTERFLY COOKIE CUTTERS;8161,46; 5805;-0,3721;915,84
22655;VINTAGE RED KITCHEN CABINET;8125,00;   60;-0,1474;150,00
22667;RECIPE BOX RETROSPOT;8101,15; 2901;-0,0292;3274,20
71053;WHITE METAL LANTERN;8056,52; 1880;-0,2413;2427,24
22909;SET OF 20 VINTAGE CHRISTMAS NAPKINS;8050,53; 8987;-0,1634;1992,96
21121;SET/10 RED POLKADOT PARTY CANDLES;8033,85; 6634;-0,0957;1831,68
22616;PACK OF 12 LONDON TISSUES;7980,92;26135;-0,5425;2459,16
22940;FELTCRAFT CHRISTMAS FAIRY;7954,00; 1930;-0,0689;3030,00
21770;OPEN CLOSED METAL SIGN;7938,78; 1641;-0,1155;3034,50
22487;WHITE WOOD GARDEN PLANT LADDER;7919,23;  785;-0,0923;2550,00
22352;LUNCH BOX WITH CUTLERY RETROSPOT;7873,72; 3093;-0,2996;2646,00
22968;ROSE COTTAGE KEEPSAKE BOX;7861,93;  795;-0,2026;3978,00
21136;PAINTED METAL PEARS ASSORTED;7830,32; 4709;-0,0681;710,08
23238;SET OF 4 KNICK KNACK TINS LONDON;7825,56; 1862;-0,1415;2340,00
22557;PLASTERS IN TIN VINTAGE PAISLEY;7777,09; 4721;-0,1493;1809,60
22173;METAL 4 HOOK HANGER FRENCH CHATEAU;7773,70; 2446;-0,2998;1683,20
23007;SPACEBOY BABY GIFT SET;7758,70;  499;0,0608;4567,81
21908;CHOCOLATE THIS WAY METAL SIGN;7756,42; 3773;-0,2061;2243,76
23204;CHARLOTTE BAG APPLES DESIGN;7741,94; 7976;-0,3199;1944,00
48111;DOORMAT 3 SMILEY CATS;7732,93; 1175;-0,2076;4490,60
21258;VICTORIAN SEWING BOX LARGE;7674,80;  532;-0,3472;3055,05
84970S;HANGING HEART ZINC T-LIGHT HOLDER;7672,41; 8905;-0,3407;1738,56
84406B;CREAM CUPID HEARTS COAT HANGER;7657,32; 2016;-0,0388;4297,08
84949;SILVER HANGING T-LIGHT HOLDER;7642,44; 4801;-0,1275;3654,00
21231;SWEETHEART CERAMIC TRINKET BOX;7628,53; 6063;-0,2551;2442,24
22991;GIRAFFE WOODEN RULER;7608,79; 3889;-0,1648;2851,20
21955;DOORMAT UNION JACK GUNS AND ROSES;7597,02; 1230;-0,1520;4583,36
22750;FELTCRAFT PRINCESS LOLA DOLL;7563,08; 2020;-0,0811;2074,68
22585;PACK OF 6 BIRDY GIFT TAGS;7561,64; 6232;-0,1766;2467,68
